Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
167,2020-06-19,0.9997700165570688,2.371038032441628e-05,0.00020062864200518621,5.644420601598214e-06,37449361.28571428,888.1428571428571,7515.142857142857,211.42857142857142,0.0,0.0,1.1
168,2020-06-20,0.999767953292511,2.434728454094797e-05,0.00020203974715558577,5.659675792413343e-06,37449284.0,912.0,7568.0,212.0,0.0,0.0,1.1
169,2020-06-21,0.9997635788665448,2.7306791559083246e-05,0.00020345085230598532,5.663489590117126e-06,37449120.14285714,1022.8571428571429,7620.857142857143,212.14285714285714,0.0,0.0,1.1
170,2020-06-22,0.9997592044405784,3.0266298577218526e-05,0.0002048619574563849,5.6673033878209075e-06,37448956.28571428,1133.7142857142858,7673.714285714285,212.28571428571428,0.0,0.0,1.1
171,2020-06-23,0.9997548300146122,3.322580559535381e-05,0.0002062730626067844,5.671117185524691e-06,37448792.428571425,1244.5714285714287,7726.571428571428,212.42857142857142,0.0,0.0,1.1
172,2020-06-24,0.999750455588646,3.6185312613489084e-05,0.00020768416775718396,5.674930983228473e-06,37448628.571428575,1355.4285714285713,7779.428571428572,212.57142857142858,0.0,0.0,1.1
173,2020-06-25,0.9997460811626798,3.914481963162436e-05,0.00020909527290758354,5.678744780932256e-06,37448464.71428572,1466.2857142857142,7832.285714285715,212.71428571428572,0.0,0.0,1.1
174,2020-06-26,0.9997417067367136,4.2104326649759645e-05,0.00021050637805798312,5.682558578636039e-06,37448300.85714286,1577.142857142857,7885.142857142857,212.85714285714286,0.0,0.0,1.1
175,2020-06-27,0.9997373323107474,4.506383366789492e-05,0.00021191748320838265,5.686372376339821e-06,37448137.0,1688.0,7938.0,213.0,0.0,0.0,1.1
176,2020-06-28,0.9997295597910271,5.077308883045744e-05,0.00021395405118220255,5.713068960266299e-06,37447845.85714286,1901.857142857143,8014.285714285715,214.0,0.0,0.0,1.1
177,2020-06-29,0.9997217872713067,5.6482343993019954e-05,0.00021599061915602243,5.739765544192777e-06,37447554.71428572,2115.714285714286,8090.571428571428,215.0,0.0,0.0,1.1
