Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
164,2020-06-16,0.995991511967179,6.753337947803727e-05,0.0033599507783802123,0.0005810038749626678,58800821.0,3987.0,198363.0,34301.0,0.0,0.0,3.18
165,2020-06-17,0.995991511967179,6.753337947803727e-05,0.0033599507783802123,0.0005810038749626678,58800821.0,3987.0,198363.0,34301.0,0.0,0.0,3.18
166,2020-06-18,0.995991511967179,6.753337947803727e-05,0.0033599507783802123,0.0005810038749626678,58800821.0,3987.0,198363.0,34301.0,0.0,0.0,3.18
167,2020-06-19,0.995991511967179,6.753337947803727e-05,0.0033599507783802123,0.0005810038749626678,58800821.0,3987.0,198363.0,34301.0,0.0,0.0,3.18
168,2020-06-20,0.995991511967179,6.753337947803727e-05,0.0033599507783802123,0.0005810038749626678,58800821.0,3987.0,198363.0,34301.0,0.0,0.0,3.18
169,2020-06-21,0.9959572455947978,6.56024024876946e-05,0.003390914163804304,0.0005862378389101756,58798798.0,3873.0,200191.0,34610.0,0.0,0.0,3.18
170,2020-06-22,0.9959572455947978,6.56024024876946e-05,0.003390914163804304,0.0005862378389101756,58798798.0,3873.0,200191.0,34610.0,0.0,0.0,3.18
171,2020-06-23,0.9959572455947978,6.56024024876946e-05,0.003390914163804304,0.0005862378389101756,58798798.0,3873.0,200191.0,34610.0,0.0,0.0,3.18
172,2020-06-24,0.9959572455947978,6.56024024876946e-05,0.003390914163804304,0.0005862378389101756,58798798.0,3873.0,200191.0,34610.0,0.0,0.0,3.18
173,2020-06-25,0.9959572455947978,6.56024024876946e-05,0.003390914163804304,0.0005862378389101756,58798798.0,3873.0,200191.0,34610.0,0.0,0.0,3.18
174,2020-06-26,0.9959572455947978,6.56024024876946e-05,0.003390914163804304,0.0005862378389101756,58798798.0,3873.0,200191.0,34610.0,0.0,0.0,3.18
175,2020-06-27,0.9959572455947978,6.56024024876946e-05,0.003390914163804304,0.0005862378389101756,58798798.0,3873.0,200191.0,34610.0,0.0,0.0,3.18
176,2020-06-28,0.9959257232423502,6.578872482886802e-05,0.0034204547240776163,0.0005880333087433012,58796937.0,3884.0,201935.0,34716.0,0.0,0.0,3.18
177,2020-06-29,0.9959257232423502,6.578872482886802e-05,0.0034204547240776163,0.0005880333087433012,58796937.0,3884.0,201935.0,34716.0,0.0,0.0,3.18
178,2020-06-30,0.9959257232423502,6.578872482886802e-05,0.0034204547240776163,0.0005880333087433012,58796937.0,3884.0,201935.0,34716.0,0.0,0.0,3.18
179,2020-07-01,0.9959257232423502,6.578872482886802e-05,0.0034204547240776163,0.0005880333087433012,58796937.0,3884.0,201935.0,34716.0,0.0,0.0,3.18
180,2020-07-02,0.9959257232423502,6.578872482886802e-05,0.0034204547240776163,0.0005880333087433012,58796937.0,3884.0,201935.0,34716.0,0.0,0.0,3.18
181,2020-07-03,0.9959257232423502,6.578872482886802e-05,0.0034204547240776163,0.0005880333087433012,58796937.0,3884.0,201935.0,34716.0,0.0,0.0,3.18
182,2020-07-04,0.9959257232423502,6.578872482886802e-05,0.0034204547240776163,0.0005880333087433012,58796937.0,3884.0,201935.0,34716.0,0.0,0.0,3.18
183,2020-07-05,0.9959039912820116,5.3254312786292745e-05,0.003452383597996879,0.000590370807205295,58795654.0,3144.0,203820.0,34854.0,0.0,0.0,3.18
